Protein,Low Acetate,High Acetate,Higher Acetate,High Fomrate,WTvsAchrs48,WTvsAchr144,WTvsH2hr,WTvsH2hr144
GSU2097,-0.729716857,0.043036864,-0.68571394,-0.68571394,2.221625704,3.127720728,0.8905483,-0.680763122
GSU2098,-0.404888289,0.372314151,-0.487339859,-0.487339859,1.06786508,1.00304852,0.996525281,-3.757818988
GSU2099,-0.967823267,-1.142404542,-1.269091608,-1.269091608,0.724314899,2.948859181,-5.471867485,-0.540544276
GSU2100,-0.704244,-0.258971293,-0.008193292,-0.008193292,-0.616254509,2.379085852,-3.765455955,-0.23088122
GSU2101,0.05674806,0.217777815,-0.091382463,-0.091382463,-0.562197937,1.963001308,-0.063958423,0.964729948
GSU2102,0.630553874,0.092526354,-0.137214746,-0.137214746,-0.628541718,-0.998659838,1.439472158,-0.030980108
GSU2104,0.677233458,0.612273654,1.36220672,1.36220672,-1.55483091,-0.695209493,1.836907852,1.781005316
GSU2105,-0.557993736,-0.58369656,-0.156437699,-0.156437699,0.483047985,-0.213349403,-3.476422728,2.018109337
GSU2106,-0.752391889,-0.713508158,-0.598600022,-0.598600022,1.316230492,-1.497350897,-0.6028821,1.559499442
GSU2107,-0.886128509,-0.787694088,-0.775396809,-0.775396809,1.650420735,-2.149761757,-0.181474078,-0.005841095
GSU2108,-0.518267069,-0.260657727,-0.582116449,-0.582116449,1.224325914,1.92505873,1.732472329,0.823913185
GSU2109,-0.670946547,-0.417365877,-0.812038204,-0.812038204,0,0,0,0
GSU2110,-0.53437515,-0.661809622,-0.66115942,-0.66115942,2.372054486,0.559148331,0.464287044,-0.075164681
GSU2112,-0.907558883,0.564211367,-0.505980315,-0.505980315,-3.437605513,0.8065283,3.006792407,-1.219619318
GSU2113,-0.946871638,-1.146352304,-0.607541594,-0.607541594,0.117274613,1.532190668,-4.22181878,-1.492128887
GSU2114,-0.645474945,-0.661080616,-1.901795689,-1.901795689,1.104120034,-0.020562938,-0.366942888,-7.828347492
GSU2115,1.258263177,0.548605269,-1.410230841,-1.410230841,0,0,0,0
GSU2116,1.999025469,-0.389731653,0.225789056,0.225789056,0.99731565,-3.407780884,-0.404879568,-6.781288558
GSU2118,1.283746209,0.800329842,1.513052143,1.513052143,-0.637728037,0.297857686,-0.520235161,-1.483934614
GSU2119,0.821893665,0.588257725,0.73895767,0.73895767,-1.186457599,0.297857686,0.835502275,-1.22025695
GSU2120,-0.22898874,0.084207886,-0.105006081,-0.105006081,-2.564384533,-3.407780884,1.73277493,0.006718872
GSU2121,0.724874318,-0.199347985,0.491637655,0.491637655,0.241150921,-1.025478278,0.89635918,-3.071550264
GSU2122,0.150612613,0.019271175,0.064422254,0.064422254,0.441204098,0.307765773,1.869127044,-0.490977866
GSU2123,0.296820085,0.235772079,0.209472123,0.209472123,-2.564384533,-2.537111563,4.223727582,-5.598924815
GSU2124,0.421201411,0.260307537,0.591311711,0.591311711,0,0,0,0
GSU2125,0.02722636,-0.065391133,0.082774388,0.082774388,-4.181362657,-1.079819712,-3.49351271,-0.767764291
GSU2126,-0.602344767,0.181171004,-0.025346507,-0.025346507,0.87394105,-2.537111563,-1.953415887,-4.685018176
GSU2127,-0.506818004,-0.836282392,0.222761057,0.222761057,-0.139319443,0.222935391,-0.505955689,1.476432106
GSU2128,0.022994019,-0.43506952,-0.187791469,-0.187791469,-0.465681735,1.092453163,-2.499109517,-0.108282677
GSU2129,-4.089038118,-2.455297406,-2.633195904,-2.633195904,0,0,0,0
GSU2131,-3.456530344,-1.683882412,-1.445241898,-1.445241898,0,0,0,0
GSU2132,-5.462592578,-3.809273637,-3.980286196,-3.980286196,1.927290934,-3.709923354,-1.945268918,-4.19781711
GSU2133,-3.87693695,-2.159595996,-2.514235492,-2.514235492,0,0,0,0
GSU2134,-5.105510017,-3.446892624,-3.218469842,-3.218469842,1.073545438,-0.240495336,-3.529426698,-6.52293182
GSU2135,-3.347380131,-1.600046339,-2.452218222,-2.452218222,1.092085545,0.565882484,-0.930754031,-2.446879491
GSU2136,-3.293312943,-1.381907883,-2.069267166,-2.069267166,2.998372758,1.229156872,-0.913811243,0.23742005
GSU2137,-3.232509567,-2.297054141,-2.153135399,-2.153135399,4.998743656,1.296898822,0.032470227,0.498125047
GSU2138,1.240473595,0.324906341,0.34811527,0.34811527,0,0,0,0
GSU2139,-0.718777825,-0.569804991,0.258736113,0.258736113,-0.120144601,4.468050113,-3.094188901,0.620855066
GSU2140,-0.310550865,-0.736434271,-0.131818416,-0.131818416,-0.378115191,-3.425348035,0.825832453,0.10031287
GSU2141,0.068095977,-0.147537506,0.496960316,0.496960316,-1.392016022,0.255807593,-2.227372235,-0.001920988
GSU2143,2.0622639,0.142675585,-0.077337279,-0.077337279,0.042654346,-0.616283902,0.296955667,-0.100913119
GSU2144,1.067416242,0.657540711,0.578730475,0.578730475,-1.728487304,-2.518725063,-0.395630335,-0.35006431
GSU2145,1.204967945,0.817936681,0.674992405,0.674992405,-7.810144004,0.890537623,0.33747759,-2.682903575
GSU2146,0.551302782,0.613464654,0.98559427,0.98559427,-6.763611044,-3.427323887,-0.08435192,-1.623043508
GSU2147,1.359849597,1.125512609,0.838438569,0.838438569,-1.213717232,-2.154993006,0.090963657,-2.0886244
GSU2148,1.097112956,0.771692806,0.45257583,0.45257583,0.756927952,0.104710093,0.768288625,-1.063357823
